Project_ID,Name,Category,Email
84,aidenwhite932's Project 1,field research,aiden.white96@outlook.com
85,aidenwhite932's Project 2,analytics,aiden.white96@outlook.com
86,emmamartinez652's Project 1,analytics,emma.martinez59@yahoo.com
87,chloeahmed639's Project 1,analytics,chloe.ahmed45@outlook.com
88,tariqwalker896's Project 1,analytics,tariq.walker98@gmail.com
89,tariqwalker896's Project 2,machine learning,tariq.walker98@gmail.com
90,isabellamartinez318's Project 1,analytics,isabella.martinez76@icloud.com
91,loganali575's Project 1,machine learning,logan.ali24@yahoo.com
92,ethantanaka812's Project 1,field research,ethan.tanaka98@yahoo.com
93,ethantanaka812's Project 2,analytics,ethan.tanaka98@yahoo.com
94,chloepetrov695's Project 1,machine learning,chloe.petrov45@icloud.com
95,diegowilliams869's Project 1,machine learning,diego.williams8@outlook.com
96,rajpatel471's Project 1,analytics,raj.patel12@protonmail.com
97,priyaahmed695's Project 1,field research,priya.ahmed14@hotmail.com
98,miajackson764's Project 1,machine learning,mia.jackson30@gmail.com
99,emmaali498's Project 1,machine learning,emma.ali54@gmail.com
100,mateodiallo633's Project 1,analytics,mateo.diallo28@outlook.com
101,amaralopez593's Project 1,analytics,amara.lopez98@yahoo.com
102,rajahmed823's Project 1,field research,raj.ahmed52@yahoo.com
103,avaanderson497's Project 1,field research,ava.anderson36@outlook.com
104,masontaylor844's Project 1,machine learning,mason.taylor21@yahoo.com
105,masontaylor844's Project 2,field research,mason.taylor21@yahoo.com
106,diegolee461's Project 1,field research,diego.lee49@outlook.com
107,diegolee461's Project 2,analytics,diego.lee49@outlook.com
108,ethankim159's Project 1,machine learning,ethan.kim7@hotmail.com
109,sofiatanaka37's Project 1,field research,sofia.tanaka97@outlook.com
110,fatimamoreno169's Project 1,machine learning,fatima.moreno57@protonmail.com
111,liamrossi307's Project 1,field research,liam.rossi65@hotmail.com
112,junwilson184's Project 1,analytics,jun.wilson34@yahoo.com
113,junwilson184's Project 2,analytics,jun.wilson34@yahoo.com
114,junmoreno780's Project 1,analytics,jun.moreno8@yahoo.com
115,avaanderson206's Project 1,field research,ava.anderson19@protonmail.com
116,avaanderson206's Project 2,analytics,ava.anderson19@protonmail.com
117,sofiawilliams103's Project 1,machine learning,sofia.williams99@protonmail.com
118,leilatanaka549's Project 1,analytics,leila.tanaka82@hotmail.com
119,sofiaokonkwo129's Project 1,analytics,sofia.okonkwo99@icloud.com
120,sofiaokonkwo129's Project 2,machine learning,sofia.okonkwo99@icloud.com
121,jacksontaylor423's Project 1,analytics,jackson.taylor87@gmail.com
122,jacksontaylor423's Project 2,analytics,jackson.taylor87@gmail.com
123,aidenbrown857's Project 1,analytics,aiden.brown40@protonmail.com
124,zoesmith767's Project 1,machine learning,zoe.smith85@gmail.com
125,zoesmith767's Project 2,machine learning,zoe.smith85@gmail.com
126,avataylor761's Project 1,field research,ava.taylor86@hotmail.com
127,avataylor761's Project 2,field research,ava.taylor86@hotmail.com
128,loganwilliams752's Project 1,analytics,logan.williams65@protonmail.com
129,loganwilliams752's Project 2,analytics,logan.williams65@protonmail.com
130,carlosmuller813's Project 1,field research,carlos.muller30@protonmail.com
131,carlosmuller813's Project 2,analytics,carlos.muller30@protonmail.com
132,miadubois451's Project 1,field research,mia.dubois81@icloud.com
133,isabellahassan666's Project 1,machine learning,isabella.hassan9@protonmail.com
134,isabellahassan666's Project 2,analytics,isabella.hassan9@protonmail.com
135,emmataylor142's Project 1,machine learning,emma.taylor39@gmail.com
136,aidenmartin928's Project 1,field research,aiden.martin91@outlook.com
137,alijackson580's Project 1,machine learning,ali.jackson94@gmail.com
138,alijackson580's Project 2,field research,ali.jackson94@gmail.com
139,avabrown65's Project 1,machine learning,ava.brown5@outlook.com
140,avabrown65's Project 2,field research,ava.brown5@outlook.com
141,jacksonmuller680's Project 1,analytics,jackson.muller14@gmail.com
142,jacksonmuller680's Project 2,machine learning,jackson.muller14@gmail.com
143,masonpatel631's Project 1,machine learning,mason.patel84@yahoo.com
144,junali759's Project 1,field research,jun.ali93@protonmail.com
145,diegodiallo801's Project 1,analytics,diego.diallo82@gmail.com
146,diegodiallo801's Project 2,analytics,diego.diallo82@gmail.com
147,alihassan199's Project 1,machine learning,ali.hassan60@protonmail.com
148,alihassan199's Project 2,machine learning,ali.hassan60@protonmail.com
